92  A=09 X=00 Y=00; .......C; 00:E06B: cmp #$41            
93  A=09 X=00 Y=00; N.......; 00:E06D: bcs 00e0c3 ($54)    
94  A=09 X=00 Y=00; N.......; 00:E06F: sta $fe92           
95  A=09 X=00 Y=00; N.......; 00:E072: inc $fe92           
96  A=09 X=00 Y=00; ........; 00:E075: iny                 
97  A=09 X=00 Y=01; ........; 00:E076: lda ($48),y         
98  A=52 X=00 Y=01; ........; 00:E078: ora #$80            
99  A=D2 X=00 Y=01; N.......; 00:E07A: cmp #$af            
100  A=D2 X=00 Y=01; .......C; 00:E07C: bne 00e082 ($4)     
101  A=D2 X=00 Y=01; .......C; 00:E082: lda #$ff            
102  A=FF X=00 Y=01; N......C; 00:E084: sta $d700,x         
103  A=FF X=00 Y=01; N......C; 00:E087: sta $feaa           
104  A=FF X=00 Y=01; N......C; 00:E08A: stx $feac           
105  A=FF X=00 Y=01; N......C; 00:E08D: cpy $fe92           
106  A=FF X=00 Y=01; N.......; 00:E090: bcs 00e0c7 ($35)    
107  A=FF X=00 Y=01; N.......; 00:E092: lda ($48),y         
108  A=52 X=00 Y=01; ........; 00:E094: and #$7f            
109  A=52 X=00 Y=01; ........; 00:E096: inx                 
110  A=52 X=01 Y=01; ........; 00:E097: iny                 
111  A=52 X=01 Y=02; ........; 00:E098: cmp #$2f            
112  A=52 X=01 Y=02; .......C; 00:E09A: beq 00e0dc ($40)    
113  A=52 X=01 Y=02; .......C; 00:E09C: cmp #$61            
114  A=52 X=01 Y=02; N.......; 00:E09E: bcc 00e0a2 ($2)     
115  A=52 X=01 Y=02; N.......; 00:E0A2: sta $d700,x         
116  A=52 X=01 Y=02; N.......; 00:E0A5: inc $feaa           
117  A=52 X=01 Y=02; ......Z.; 00:E0A8: bne 00e0af ($5)     
118  A=52 X=01 Y=02; ......Z.; 00:E0AA: inc $feaa           
119  A=52 X=01 Y=02; ........; 00:E0AD: bne 00e0bb ($c)     
120  A=52 X=01 Y=02; ........; 00:E0BB: cmp #$41            
121  A=52 X=01 Y=02; .......C; 00:E0BD: bcc 00e0c3 ($4)     
122  A=52 X=01 Y=02; .......C; 00:E0BF: cmp #$5b            
123  A=52 X=01 Y=02; N.......; 00:E0C1: bcc 00e08d (-$36)   
124  A=52 X=01 Y=02; N.......; 00:E08D: cpy $fe92           
125  A=52 X=01 Y=02; N.......; 00:E090: bcs 00e0c7 ($35)    
126  A=52 X=01 Y=02; N.......; 00:E092: lda ($48),y         
127  A=42 X=01 Y=02; ........; 00:E094: and #$7f            
128  A=42 X=01 Y=02; ........; 00:E096: inx                 
129  A=42 X=02 Y=02; ........; 00:E097: iny                 
130  A=42 X=02 Y=03; ........; 00:E098: cmp #$2f            
131  A=42 X=02 Y=03; .......C; 00:E09A: beq 00e0dc ($40)    
132  A=42 X=02 Y=03; .......C; 00:E09C: cmp #$61            
133  A=42 X=02 Y=03; N.......; 00:E09E: bcc 00e0a2 ($2)     
134  A=42 X=02 Y=03; N.......; 00:E0A2: sta $d700,x         
135  A=42 X=02 Y=03; N.......; 00:E0A5: inc $feaa           
136  A=42 X=02 Y=03; ........; 00:E0A8: bne 00e0af ($5)     
137  A=42 X=02 Y=03; ........; 00:E0AF: cmp #$2e            
138  A=42 X=02 Y=03; .......C; 00:E0B1: beq 00e08d (-$26)   
139  A=42 X=02 Y=03; .......C; 00:E0B3: cmp #$30            
140  A=42 X=02 Y=03; .......C; 00:E0B5: bcc 00e0c3 ($c)     
141  A=42 X=02 Y=03; .......C; 00:E0B7: cmp #$3a            
142  A=42 X=02 Y=03; .......C; 00:E0B9: bcc 00e08d (-$2e)   
143  A=42 X=02 Y=03; .......C; 00:E0BB: cmp #$41            
144  A=42 X=02 Y=03; .......C; 00:E0BD: bcc 00e0c3 ($4)     
145  A=42 X=02 Y=03; .......C; 00:E0BF: cmp #$5b            
146  A=42 X=02 Y=03; N.......; 00:E0C1: bcc 00e08d (-$36)   
147  A=42 X=02 Y=03; N.......; 00:E08D: cpy $fe92           
148  A=42 X=02 Y=03; N.......; 00:E090: bcs 00e0c7 ($35)    
149  A=42 X=02 Y=03; N.......; 00:E092: lda ($48),y         
150  A=52 X=02 Y=03; ........; 00:E094: and #$7f            
151  A=52 X=02 Y=03; ........; 00:E096: inx                 
152  A=52 X=03 Y=03; ........; 00:E097: iny                 
153  A=52 X=03 Y=04; ........; 00:E098: cmp #$2f            
154  A=52 X=03 Y=04; .......C; 00:E09A: beq 00e0dc ($40)    
155  A=52 X=03 Y=04; .......C; 00:E09C: cmp #$61            
156  A=52 X=03 Y=04; N.......; 00:E09E: bcc 00e0a2 ($2)     
157  A=52 X=03 Y=04; N.......; 00:E0A2: sta $d700,x         
158  A=52 X=03 Y=04; N.......; 00:E0A5: inc $feaa           
159  A=52 X=03 Y=04; ........; 00:E0A8: bne 00e0af ($5)     
160  A=52 X=03 Y=04; ........; 00:E0AF: cmp #$2e            
161  A=52 X=03 Y=04; .......C; 00:E0B1: beq 00e08d (-$26)   
162  A=52 X=03 Y=04; .......C; 00:E0B3: cmp #$30            
163  A=52 X=03 Y=04; .......C; 00:E0B5: bcc 00e0c3 ($c)     
164  A=52 X=03 Y=04; .......C; 00:E0B7: cmp #$3a            
165  A=52 X=03 Y=04; .......C; 00:E0B9: bcc 00e08d (-$2e)   
166  A=52 X=03 Y=04; .......C; 00:E0BB: cmp #$41            
167  A=52 X=03 Y=04; .......C; 00:E0BD: bcc 00e0c3 ($4)     
168  A=52 X=03 Y=04; .......C; 00:E0BF: cmp #$5b            
169  A=52 X=03 Y=04; N.......; 00:E0C1: bcc 00e08d (-$36)   
170  A=52 X=03 Y=04; N.......; 00:E08D: cpy $fe92           
171  A=52 X=03 Y=04; N.......; 00:E090: bcs 00e0c7 ($35)    
172  A=52 X=03 Y=04; N.......; 00:E092: lda ($48),y         
173  A=45 X=03 Y=04; ........; 00:E094: and #$7f            
174  A=45 X=03 Y=04; ........; 00:E096: inx                 
175  A=45 X=04 Y=04; ........; 00:E097: iny                 
176  A=45 X=04 Y=05; ........; 00:E098: cmp #$2f            
177  A=45 X=04 Y=05; .......C; 00:E09A: beq 00e0dc ($40)    
178  A=45 X=04 Y=05; .......C; 00:E09C: cmp #$61            
179  A=45 X=04 Y=05; N.......; 00:E09E: bcc 00e0a2 ($2)     
180  A=45 X=04 Y=05; N.......; 00:E0A2: sta $d700,x         
181  A=45 X=04 Y=05; N.......; 00:E0A5: inc $feaa           
182  A=45 X=04 Y=05; ........; 00:E0A8: bne 00e0af ($5)     
183  A=45 X=04 Y=05; ........; 00:E0AF: cmp #$2e            
184  A=45 X=04 Y=05; .......C; 00:E0B1: beq 00e08d (-$26)   
185  A=45 X=04 Y=05; .......C; 00:E0B3: cmp #$30            
186  A=45 X=04 Y=05; .......C; 00:E0B5: bcc 00e0c3 ($c)     
187  A=45 X=04 Y=05; .......C; 00:E0B7: cmp #$3a            
188  A=45 X=04 Y=05; .......C; 00:E0B9: bcc 00e08d (-$2e)   
189  A=45 X=04 Y=05; .......C; 00:E0BB: cmp #$41            
190  A=45 X=04 Y=05; .......C; 00:E0BD: bcc 00e0c3 ($4)     
191  A=45 X=04 Y=05; .......C; 00:E0BF: cmp #$5b            
192  A=45 X=04 Y=05; N.......; 00:E0C1: bcc 00e08d (-$36)   
193  A=45 X=04 Y=05; N.......; 00:E08D: cpy $fe92           
194  A=45 X=04 Y=05; N.......; 00:E090: bcs 00e0c7 ($35)    
195  A=45 X=04 Y=05; N.......; 00:E092: lda ($48),y         
196  A=53 X=04 Y=05; ........; 00:E094: and #$7f            
197  A=53 X=04 Y=05; ........; 00:E096: inx                 
